,Label,img_path
0,Trees,/content/train/Trees/Forest_1742.jpg
1,NoTrees,/content/train/NoTrees/Industrial_2121.jpg
2,NoTrees,/content/train/NoTrees/SeaLake_1468.jpg
3,NoTrees,/content/train/NoTrees/Industrial_1256.jpg
4,Trees,/content/train/Trees/Forest_1134.jpg
5,NoTrees,/content/train/NoTrees/AnnualCrop_153.jpg
6,Trees,/content/train/Trees/Forest_277.jpg
7,NoTrees,/content/train/NoTrees/Industrial_577.jpg
8,NoTrees,/content/train/NoTrees/Industrial_587.jpg
9,NoTrees,/content/train/NoTrees/AnnualCrop_2759.jpg
10,Trees,/content/train/Trees/Forest_728.jpg
11,Trees,/content/train/Trees/Forest_2188.jpg
12,Trees,/content/train/Trees/River_274.jpg
13,Trees,/content/train/Trees/Forest_249.jpg
14,Trees,/content/train/Trees/Forest_1452.jpg
15,NoTrees,/content/train/NoTrees/SeaLake_204.jpg
16,NoTrees,/content/train/NoTrees/Industrial_630.jpg
17,Trees,/content/train/Trees/River_1666.jpg
18,Trees,/content/train/Trees/River_204.jpg
19,NoTrees,/content/train/NoTrees/Industrial_1668.jpg
20,NoTrees,/content/train/NoTrees/AnnualCrop_147.jpg
21,NoTrees,/content/train/NoTrees/SeaLake_1722.jpg
22,Trees,/content/train/Trees/Forest_2876.jpg
23,Trees,/content/train/Trees/Forest_2413.jpg
24,NoTrees,/content/train/NoTrees/SeaLake_2055.jpg
25,NoTrees,/content/train/NoTrees/SeaLake_818.jpg
26,Trees,/content/train/Trees/River_1139.jpg
27,Trees,/content/train/Trees/Forest_637.jpg
28,Trees,/content/train/Trees/River_1292.jpg
29,NoTrees,/content/train/NoTrees/SeaLake_1225.jpg
30,NoTrees,/content/train/NoTrees/SeaLake_1267.jpg
31,Trees,/content/train/Trees/Forest_980.jpg
32,NoTrees,/content/train/NoTrees/SeaLake_1037.jpg
33,NoTrees,/content/train/NoTrees/SeaLake_1833.jpg
34,Trees,/content/train/Trees/River_757.jpg
35,Trees,/content/train/Trees/Forest_861.jpg
36,NoTrees,/content/train/NoTrees/SeaLake_641.jpg
37,Trees,/content/train/Trees/Forest_2328.jpg
38,Trees,/content/train/Trees/River_353.jpg
39,NoTrees,/content/train/NoTrees/AnnualCrop_2252.jpg
40,Trees,/content/train/Trees/River_404.jpg
41,NoTrees,/content/train/NoTrees/Industrial_232.jpg
42,NoTrees,/content/train/NoTrees/SeaLake_199.jpg
43,Trees,/content/train/Trees/River_822.jpg
44,NoTrees,/content/train/NoTrees/Industrial_812.jpg
45,NoTrees,/content/train/NoTrees/SeaLake_827.jpg
46,NoTrees,/content/train/NoTrees/AnnualCrop_1698.jpg
